4.7957 	 7.7613 	 4.8408 	 0.1262 	 -925.4543 	 5.0000 
5.2212 	 8.3032 	 6.0936 	 0.1176 	 -925.4185 	 4.0000 
4.3171 	 6.9896 	 3.6477 	 0.1339 	 -925.4616 	 8.0000 
1.5375 	 2.3989 	 0.5009 	 0.0083 	 -939.3626 	 35.0000 
4.8027 	 7.7355 	 4.8467 	 0.1277 	 -925.3834 	 2.0000 
4.6995 	 7.4643 	 4.8114 	 0.1221 	 -925.4624 	 18.0000 
7.3616 	 10.8446 	 16.7895 	 0.0056 	 -928.6710 	 1.0000 
4.2432 	 6.7798 	 3.6448 	 0.1278 	 -925.5130 	 25.0000 
2.8927 	 4.4178 	 3.2030 	 0.0114 	 -932.2016 	 7.0000 
4.0851 	 6.8071 	 3.4526 	 0.1317 	 -925.4777 	 13.0000 
2.7419 	 4.9087 	 0.7394 	 0.1563 	 -926.4629 	 37.0000 
3.4817 	 5.9055 	 2.3377 	 0.1295 	 -925.7503 	 17.0000 
4.0231 	 6.6045 	 3.2580 	 0.1313 	 -925.5092 	 21.0000 
4.3561 	 7.0848 	 4.0122 	 0.1272 	 -925.4093 	 14.0000 
12.9808 	 18.0702 	 36.1197 	 0.0000 	 -928.7656 	 34.0000 
4.1619 	 6.7928 	 3.5307 	 0.1323 	 -925.4516 	 46.0000 
1.8746 	 2.8969 	 1.0944 	 0.0193 	 -936.0484 	 49.0000 
4.5771 	 7.4082 	 4.5261 	 0.1251 	 -925.3923 	 38.0000 
5.1978 	 8.2844 	 6.1151 	 0.1143 	 -925.3792 	 39.0000 
4.8274 	 7.6623 	 4.9950 	 0.1210 	 -925.4642 	 26.0000 
4.4094 	 7.2111 	 4.0971 	 0.1302 	 -925.4118 	 41.0000 
6.2003 	 9.7131 	 8.5584 	 0.1109 	 -925.4832 	 10.0000 
4.5305 	 7.2985 	 4.3211 	 0.1282 	 -925.4764 	 48.0000 
4.3785 	 6.9590 	 4.0490 	 0.1254 	 -925.4278 	 11.0000 
4.7981 	 7.7596 	 5.0386 	 0.1221 	 -925.3832 	 28.0000 
3.9991 	 6.4436 	 3.1107 	 0.1351 	 -925.5184 	 24.0000 
4.8015 	 7.6964 	 5.0030 	 0.1258 	 -925.4370 	 31.0000 
4.8729 	 7.8434 	 5.3518 	 0.1152 	 -925.3570 	 9.0000 
7.5553 	 10.7564 	 16.6519 	 0.0004 	 -928.7724 	 23.0000 
4.5981 	 7.7317 	 4.7178 	 0.1278 	 -925.4137 	 47.0000 
4.6192 	 7.4514 	 4.5212 	 0.1264 	 -925.3648 	 50.0000 
4.2815 	 6.3792 	 6.9632 	 0.0003 	 -930.3001 	 32.0000 
4.4600 	 7.1035 	 4.1647 	 0.1262 	 -925.4742 	 30.0000 
5.7237 	 8.0178 	 10.7910 	 0.0001 	 -929.5644 	 6.0000 
3.9111 	 6.6145 	 3.1410 	 0.1294 	 -925.4720 	 3.0000 
5.9631 	 9.1103 	 7.9807 	 0.1070 	 -925.5707 	 45.0000 
10.6886 	 15.7534 	 21.7394 	 0.0893 	 -926.4493 	 22.0000 
5.6331 	 8.7275 	 7.0169 	 0.1107 	 -925.4727 	 29.0000 
10.2491 	 14.4999 	 26.2152 	 0.0001 	 -928.6810 	 12.0000 
7.2516 	 10.3407 	 15.9523 	 0.0002 	 -928.9392 	 40.0000 
8.5454 	 12.7237 	 15.0672 	 0.0959 	 -925.9788 	 15.0000 
3.9251 	 6.5020 	 2.7184 	 0.1429 	 -925.4820 	 27.0000 
5.4364 	 8.6368 	 6.4769 	 0.1131 	 -925.4563 	 20.0000 
4.3043 	 7.0735 	 3.8259 	 0.1313 	 -925.4379 	 43.0000 
3.9240 	 6.2049 	 3.2515 	 0.1248 	 -925.6667 	 36.0000 
4.4430 	 7.1811 	 4.0742 	 0.1260 	 -925.4696 	 42.0000 
6.5172 	 10.0484 	 9.8187 	 0.0991 	 -925.5745 	 33.0000 
4.1914 	 6.9984 	 3.5013 	 0.1325 	 -925.4497 	 44.0000 
3.5516 	 5.9728 	 2.1266 	 0.1412 	 -925.6462 	 16.0000 
1.8914 	 3.3510 	 1.3421 	 0.0001 	 -937.9729 	 19.0000 
